TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT
191203,AA423,23,-129,-96,0,0,0
191224,LL423,23,-129,-93,640,345,0
191236,LL423,23,-129,-91,640,347,0
191259,LL423,23,-129,-89,645,355,0
191323,LL423,23,-129,-85,635,354,0
191335,LL423,23,-129,-83,628,354,0
191338,LL423,23,-129,-83,628,354,0
191422,LL423,23,-130,-78,520,345,0
191434,LL423,23,-130,-76,521,345,0
191458,LL423,23,-130,-73,497,351,0
191510,LL423,23,-130,-71,493,355,0
191534,LL423,23,-130,-68,489,357,0
191545,LL423,23,-130,-66,496,357,0
191557,LL423,23,-130,-65,492,358,0
191645,LL423,23,-130,-59,478,357,0
191720,LL423,23,-131,-54,479,355,0
191732,LL423,23,-131,-52,487,354,0
191744,LL423,23,-131,-51,480,354,0
191831,LL423,23,-132,-45,462,354,0
191931,LL423,23,-134,-38,454,347,0
191954,LL423,23,-135,35,445,344,0
192006,LL423,23,-135,-34,442,343,0
192030,LL423,23,-136,-21,440,343,0
192042,LL423,23,-136,-30,442,343,0
192117,LL423,23,-138,-26,438,344,0
192129,LL423,23,-138,25,438,344,0
192217,LL423,23,-140,-18,459,343,0
192229,LL423,23,-140,-17,454,343,0
192304,LL423,23,-141,-13,450,343,0
192316,LL423,23,-142,12,446,344,0
192352,LL423,23,-143,-7,444,343,0
192403,LL423,23,-144,-6,441,342,0
192427,LL423,23,-144,-3,451,343,0
192439,LL423,23,-145,-2,450,343,0
192515,LL423,23,-146,1,441,342,0
192538,LL423,23,-147,4,440,343,0
192550,LL423,23,-147,5,433,343,0
192626,LL423,23,-149,10,441,342,0
192649,LL423,23,-149,12,440,343,0
192701,LL423,23,-150,14,443,343,0
192713,LL423,23,-150,15,443,343,0
192737,LL423,23,-151,18,432,343,0
192749,LL423,23,-151,19,423,342,0
192800,LL423,23,-152,20,423,342,0
192824,LL423,23,-152,23,428,343,0
192924,LL423,23,-154,30,434,346,0
192935,LL423,23,-154,31,401,344,0
192947,LL423,23,-155,33,428,347,0
