TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
180025,AJ024,24,-9,-240,234,289,22875,P
180125,AJ024,24,-13,-239,234,289,22875,P
180135,AJ024,24,-14,-239,234,289,22875,P
180156,AJ024,24,-15,-239,226,282,22875,P
180215,AJ024,24,-16,-238,226,282,22875,P
180226,AJ024,24,-17,-238,226,282,22875,P
180246,AJ024,24,-18,-238,226,282,22875,P
180255,AJ024,24,-19,-238,226,282,22875,P
180306,AJ024,24,-19,-238,226,282,22875,P
180316,AJ024,24,-20,-238,226,282,22875,P
180326,AJ024,24,-21,-237,226,282,22875,P
180336,AJ024,24,-21,-237,226,282,22875,P
180346,AJ024,24,-22,-237,226,282,22875,P
180406,AJ024,24,-23,-237,228,282,22875,P
180426,AJ024,24,-24,-236,226,282,22875,P
180436,AJ024,24,-25,-236,226,282,22875,P
180446,AJ024,24,-25,-236,226,282,22675,P
180456,AJ024,24,-26,-236,226,282,22875,P
180516,AJ024,24,-27,-236,226,282,22675,P
180526,AJ024,24,-28,-236,226,282,22875,P
180536,AJ024,24,-29,-236,222,275,22875,P
180557,AJ024,24,-30,-235,222,275,22875,P
180606,AJ024,24,-30,-235,222,275,22875,P
180657,AJ024,24,-33,-235,222,275,22875,P
180707,AJ024,24,-34,-234,222,275,22675,P
180717,AJ024,24,-35,-234,222,275,22875,P
180747,AJ024,24,-36,-234,222,275,22875,P
180817,AJ024,24,-38,-234,222,275,22875,P
180907,AJ024,24,-41,-233,222,275,24374,P
180917,AJ024,24,-42,-233,222,275,24374,P
180928,AJ024,24,-43,-233,222,275,24374,P
180958,AJ024,24,-44,-232,222,275,24374,P
181028,AJ024,24,-46,-231,226,282,25499,P
181038,AJ024,24,-47,-231,226,282,25499,P
181058,AJ024,24,-48,-230,226,282,25499,P
181108,AJ024,24,-48,-230,214,309,25499,P
181138,AJ024,24,-50,-229,214,309,25499,P
181158,AJ024,24,-52,-229,234,289,25499,P
181228,AJ024,24,-62,-226,234,289,25499,P
181259,AJ024,24,-55,-227,214,309,25499,P
181319,AJ024,24,-55,-227,214,309,25499,P
181359,AJ024,24,-58,-225,222,275,25499,P
181409,AJ024,24,-59,-226,221,269,25499,P
181440,AJ024,24,-61,-225,221,269,25499,P
181449,AJ024,24,-61,-224,221,269,25499,P
181500,AJ024,24,-62,-224,234,289,25499,P
181520,AJ024,24,-63,-223,234,289,25499,P
181550,AJ024,24,-67,-228,228,255,25499,P
181610,AJ024,24,-68,-226,228,255,25499,P
181630,AJ024,24,-66,-229,237,144,25499,P
181700,AJ024,24,-64,-228,237,144,25499,P
181720,AJ024,24,-61,-231,221,119,25499,P
181730,AJ024,24,-61,-231,221,119,25499,P
181740,AJ024,24,-60,-231,221,119,25499,P
181751,AJ024,24,-59,-231,221,119,25499,P
