TIME,TNT,ENT,X,Y,SPEED,BEAR,ALT
174520,AJ024,24,-38.879,+45.414,473.56,84.031,22875.
174532,AJ024,24,-37.355,+45.574,473.56,84.031,22875.
174536,AJ024,24,-42.785,+44.918,42.188,90.000,22875.
174606,AJ024,24,-45.074,+46.676,237.63,299.22,22875.
175646,AJ024,24,-85.051,+63.215,246.81,289.97,23062.
175709,AJ024,24,-86.563,+63.691,245.69,289.19,23062.
180051,AJ024,24,-100.77,+67.484,242.94,284.22,23062.
180201,AJ024,24,-105.14,+68.660,233.63,285.69,23062.
180224,AJ024,24,-106.67,+68.875,234.50,282.97,23062.
180247,AJ024,24,-108.18,+69.152,233.69,282.16,23062.
180256,AJ024,24,-108.92,+69.313,233.69,282.16,23062.
180322,AJ024,24,-110.44,+69.762,238.69,283.63,23062.
180409,AJ024,24,-113.64,+70.230,242.13,279.19,24375.
180530,AJ024,24,-118.91,+71.227,239.25,280.16,24375.
180605,AJ024,24,-120.97,+72.211,237.06,285.47,25687.
180652,AJ024,24,-123.42,+74.402,239.06,311.41,25687.
180848,AJ024,24,-130.84,+77.176,239.06,271.69,25687.
180900,AJ024,24,-131.69,+77.387,243.44,274.97,25687.
180946,AJ024,24,-134.24,+79.195,245.25,297.28,25687.
181056,AJ024,24,-138.82,+80.926,246.94,294.38,25687.
181206,AJ024,24,-143.95,+76.762,246.06,201.78,25687.
181351,AJ024,24,-135.44,+72.598,242.13,117.65,25687.
