TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
184318,AJ417,17,-21,-256,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184338,AJ417,17,-23,-255,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184428,AJ417,17,-27,-251,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184438,AJ417,17,-28,-251,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184508,AJ417,17,-30,-249,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184538,AJ417,17,-33,-247,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184558,AJ417,17,-34,-248,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184618,AJ417,17,-36,244,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184639,AJ417,17,-38,-243,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184658,AJ417,17,-40,-242,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184708,AJ417,17,-41,-241,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184718,AJ417,17,-42,-241,395,308,35624,F,R,-,-,2000,7,P.BALLONE
184729,AJ417,17,-43,240,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184739,AJ417,17,-43,-239,378,305,35624,F,R,-,-,2000,7,P.BALLONE
184819,AJ417,17,-47,-237,395,308,36374,F,R,-,-,2000,7,P.BALLONE
184829,AJ417,17,-47,-236,395,308,36374,F,R,-,-,2000,7,P.BALLONE
184859,AJ417,17,-50,-234,395,308,36374,F,R,-,-,2000,7,P.BALLONE
184929,AJ417,17,-53,-232,395,308,36374,F,R,-,-,2000,7,P.BALLONE
184959,AJ417,17,-55,-230,395,308,36374,F,R,-,-,2000,7,P.BALLONE
185040,AJ417,17,-59,-227,395,308,36374,F,R,-,-,2000,7,P.BALLONE
185100,AJ417,17,-60,-226,395,308,36374,F,R,-,-,2000,7,P.BALLONE
185110,AJ417,17,-61,-226,395,308,36374,F,R,-,-,2000,7,P.BALLONE
185120,AJ417,17,-62,-225,378,305,36374,F,R,-,-,2000,7,P.BALLONE
185230,AJ417,17,-68,-220,373,311,36374,F,R,-,-,2000,7,P.BALLONE
185240,AJ417,17,-68,-219,373,311,36374,F,R,-,-,2000,7,P.BALLONE
185250,AJ417,17,-69,-219,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185310,AJ417,17,-70,-217,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185320,AJ417,17,-71,-217,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185340,AJ417,17,-72,-214,354,320,37499,F,R,-,-,2000,7,P.BALLONE
185400,AJ417,17,-73,-212,354,320,37499,F,R,-,-,2000,7,P.BALLONE
185410,AJ417,17,-74,-211,354,320,37499,F,R,-,-,2000,7,P.BALLONE
185421,AJ417,17,-74,-210,354,320,37499,F,R,-,-,2000,7,P.BALLONE
185431,AJ417,17,-74,-209,388,338,37499,F,R,-,-,2000,7,P.BALLONE
185451,AJ417,17,-77,-208,388,338,37499,F,R,-,-,2000,7,P.BALLONE
185501,AJ417,17,-77,-206,388,338,37499,F,R,-,-,2000,7,P.BALLONE
185521,AJ417,17,-77,-204,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185531,AJ417,17,-78,-204,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185541,AJ417,17,-79,-203,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185551,AJ417,17,-80,-202,373,311,37499,F,R,-,-,2000,7,P.BALLONE
185601,AJ417,17,-80,-201,353,327,37400,F,R,-,-,2000,7,P.BALLONE
185611,AJ417,17,-81,-200,363,327,37499,F,R,-,-,2000,7,P.BALLONE
185621,AJ417,17,-82,-200,363,327,37499,F,R,-,-,2000,7,P.BALLONE
185632,AJ417,17,-82,-198,363,327,37499,F,R,-,-,2000,7,P.BALLONE
185641,AJ417,17,-83,-198,387,329,11250,F,R,-,-,2000,7,P.BALLONE
185702,AJ417,17,-84,-196,387,329,11250,F,R,-,-,2000,7,P.BALLONE
185731,AJ417,17,-65,-192,387,329,11250,F,R,-,-,2000,7,P.BALLONE
185812,AJ417,17,-87,-188,387,329,11250,F,R,-,-,2000,7,P.BALLONE
185822,AJ417,17,-87,-187,388,338,11250,F,R,-,-,2000,7,P.BALLONE
185832,AJ417,17,-88,-186,388,338,11250,F,R,-,-,2000,7,P.BALLONE
185852,AJ417,17,-89,-164,388,338,11250,F,R,-,-,-,5,P.BALLONE
185902,AJ417,17,-90,-183,374,333,11250,F,R,-,-,-,7,P.BALLONE
185922,AJ417,17,-91,-181,374,333,11250,F,R,-,-,-,7,P.BALLONE
185942,AJ417,17,-92,-180,374,333,11250,F,R,-,-,-,5,P.BALLONE
185952,AJ417,17,-92,-179,374,333,11250,F,R,-,-,-,3,P.BALLONE
190042,AJ417,17,-95,-174,374,333,11250,F,R,-,-,-,7,P.BALLONE
190113,AJ417,17,-96,-171,374,333,11250,F,R,-,-,-,5,P.BALLONE
190123,AJ417,17,-97,-170,374,333,11250,F,R,-,-,-,5,P.BALLONE
190133,AJ417,17,-97,-169,374,333,11250,F,R,-,-,-,3,P.BALLONE
