TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
205622,AJ420,20,+93.875,-11.980,0.0000,0.0000,0.0000,M
205630,AJ420,20,+91.426,-11.285,0.0000,0.0000,0.0000,M
205751,AJ420,20,+86.566,-9.6250,226.75,289.00,12187.,M
205803,AJ420,20,+85.820,-9.3090,231.25,289.53,12187.,M
205815,AJ420,20,+85.074,-9.0270,231.25,289.53,12187.,M
205826,AJ420,20,+84.336,-8.7460,231.25,289.53,12187.,M
205838,AJ420,20,+83.598,-8.5160,231.25,289.53,12187.,M
205850,AJ420,20,+82.953,-8.2150,229.13,290.66,12187.,M
205959,AJ420,20,+78.707,-6.6211,232.44,290.34,12187.,M
210243,AJ420,20,+68.785,-3.1250,230.44,291.47,12750.,M
210439,AJ420,20,+61.723,-1.2500,236.31,292.75,12375.,M
210746,AJ420,20,+50.695,+4.4336,225.88,290.97,12187.,M
210821,AJ420,20,+48.641,+4.8164,220.19,286.69,12187.,M
210833,AJ420,20,+47.941,+5.1094,221.19,287.56,12375.,M
210919,AJ420,20,+45.164,+6.7656,232.69,295.00,12375.,M
211006,AJ420,20,+42.414,+8.0120,231.25,294.22,12375.,M
211041,AJ420,20,+40.422,+8.7730,225.19,292.94,12187.,M
211151,AJ420,20,+36.184,+10.609,231.75,292.28,12187.,M
211347,AJ420,20,+29.355,+13.762,231.25,294.22,12375.,M
211411,AJ420,20,+27.945,+14.430,232.69,295.00,12375.,M
211729,AJ420,20,+29.102,+22.008,233.38,127.03,12375.,M
211752,AJ420,20,+28.902,+22.184,210.94,126.84,12375.,M
212110,AJ420,20,+28.406,+22.660,15.688,116.56,12375.,M
212134,AJ420,20,+28.500,+22.613,15.688,116.56,12375.,M
212144,AJ420,20,-3.9063,+25.898,15.688,116.56,12375.,M
212306,AJ420,20,-2.7578,+25.402,14.438,194.03,12375.,M
212329,AJ420,20,-5.2656,+28.648,14.438,165.97,12375.,M
212439,AJ420,20,-5.7734,+28.652,12.625,236.31,12375.,M
212514,AJ420,20,-11.043,+30.020,312.94,181.28,12375.,M
212611,AJ420,20,-15.414,+33.313,362.88,308.31,12375.,M
212634,AJ420,20,-17.016,+33.949,334.38,303.84,12375.,M
213138,AJ420,20,-34.543,+40.223,229.13,318.72,11906.,M
213334,AJ420,20,-41.809,+44.078,235.81,296.56,11812.,M
213507,AJ420,20,-47.355,+46.188,231.75,292.28,11812.,M
213814,AJ420,20,-58.328,+50.777,233.06,293.06,11812.,M
213947,AJ420,20,-63.734,+53.156,229.88,293.41,11812.,M
214207,AJ420,20,-72.637,+55.148,237.13,281.97,11812.,M
214734,AJ420,20,-93.281,+60.102,235.31,283.81,13687.,M
215127,AJ420,20,-106.89,+66.824,231.13,298.13,13875.,M
215300,AJ420,20,-112.27,+69.820,234.50,299.63,13875.,M
215324,AJ420,20,-113.59,+70.570,234.50,299.63,13875.,M
215410,AJ420,20,-116.62,+70.492,234.50,299.63,13875.,M
