CART,TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
,184007,AJ453,53,98,-255,446,359,38999,F,R,-,-,0226,7,P.BALLONE
,184017,AJ453,53,96,-253,446,359,38999,F,R,-,-,0226,7,P.BALLONE
,184047,AJ453,53,97,-250,446,359,38999,F,R,-,-,0226,7,P.BALLONE
,184147,AJ453,53,97,-242,474,359,38999,F,R,-,-,0226,7,P.BALLONE
,184157,AJ453,53,97,-241,474,359,38999,F,R,-,-,0226,7,P.BALLONE
,184217,AJ453,53,96,-238,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184237,AJ453,53,96,-236,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184247,AJ453,53,96,-235,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184258,AJ453,53,96,-233,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184328,AJ453,53,96,-230,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184338,AJ453,53,96,-228,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184348,AJ453,53,96,-227,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184358,AJ453,53,98,-226,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184408,AJ453,53,95,-225,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184418,AJ453,53,95,-223,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184448,AJ453,53,95,-220,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184458,AJ453,53,95,-218,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184528,AJ453,53,95,-215,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184558,AJ453,53,94,-211,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184618,AJ453,53,94,-208,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184628,AJ453,53,94,-207,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184638,AJ453,53,94,-206,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184739,AJ453,53,93,-199,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184749,AJ453,53,93,197,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184759,AJ453,53,93,-196,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184809,AJ453,53,93,-195,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184839,AJ453,53,93,-191,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184849,AJ453,53,92,-190,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184909,AJ453,53,92,-187,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184919,AJ453,53,92,-186,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184939,AJ453,53,92,-183,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,184959,AJ453,53,91,-181,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185009,AJ453,53,91,-180,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185019,AJ453,53,91,-178,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185030,AJ453,53,91,-177,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185039,AJ453,53,91,-176,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185049,AJ453,53,90,-175,447,355,38999,F,R,-,-,0226,7,P.BALLONE
,185130,AJ453,53,90,-169,475,356,38999,F,R,-,-,0226,7,P.BALLONE
,185140,AJ453,53,90,-168,475,356,38999,F,R,-,,0226,7,P.BALLONE
,185150,AJ453,53,90,-167,475,356,38999,F,R,-,-,0226,7,P.BALLONE
,185200,AJ453,53,90,-165,475,358,38999,F,R,-,-,0226,7,P.BALLONE
,185210,AJ453,53,90,-164,475,356,-,F,R,-,-,0226,7,P.BALLONE
,185220,AJ453,53,89,163,475,356,38999,F,R,-,-,0226,7,P.BALLONE
,185300,AJ453,53,89,-158,475,356,38999,F,R,-,-,0226,7,P.BALLONE
