ORA ZULU,ORA LEGALE,D,TRKNU,ENTRY,X_COORD,Y_COORD,SPEED,HEADING,ALTIT,ID,SYS_ID,CON_ADD,SL,LR,AM,BLI,SIF_123
18:12:38,20:12:38,3,AJ453,37,-140.78,+74.984,485.94,165.75,35625.,56,16,05,0,0,1,0,
18:12:53,20:12:53,1,AJ453,37,-140.07,+73.645,484.38,164.84,35625.,56,16,05,0,0,1,0,
18:13:28,20:13:28,0,AJ453,37,-138.84,+69.105,484.38,164.84,35625.,56,16,05,0,0,1,0,
18:14:49,20:14:49,2,AJ453,37,-128.43,+60.422,486.50,123.78,35625.,56,16,05,0,0,1,0,07
18:16:45,20:16:45,6,AJ453,37,-118.52,+46.355,502.25,150.19,34500.,56,16,05,0,0,1,0,07
18:17:55,20:17:55,3,AJ453,37,-112.74,+38.359,507.13,144.88,34500.,56,16,05,0,0,1,0,07
18:18:30,20:18:30,2,AJ453,37,-110.26,+33.977,510.13,147.94,34500.,56,16,05,0,0,1,0,07
18:19:23,20:19:23,6,AJ453,37,-106.19,+26.867,507.56,149.16,34500.,56,16,05,0,0,1,0,07
18:19:27,20:19:27,8,AJ453,37,-106.19,+26.867,507.56,149.16,33937.,56,16,05,0,0,1,0,
18:20:22,20:20:22,8,AJ453,37,-102.14,+19.758,505.81,149.50,33937.,56,16,05,0,0,1,0,
18:20:26,20:20:26,8,AJ453,37,-102.14,+19.758,505.81,149.50,33937.,56,16,05,0,0,1,0,
18:21:24,20:21:24,6,AJ453,37,-98.762,+12.293,509.38,152.91,32812.,76,16,05,0,0,1,0,07
18:24:18,20:24:18,9,AJ453,37,-98.422,-10.445,468.31,187.75,25312.,56,16,02,0,0,1,0,07
18:24:53,20:24:53,9,AJ453,37,-99.887,-14.785,465.56,193.06,25312.,56,16,02,0,0,1,0,07
18:28:58,20:28:58,2,AJ453,37,-110.12,-38.988,378.63,201.78,9375.0,56,16,02,0,0,1,0,07
18:29:09,20:29:09,7,AJ453,37,-110.57,-40.125,378.63,201.78,9375.0,56,16,02,0,0,1,0,07
18:29:21,20:29:21,6,AJ453,37,-111.03,-41.266,378.63,201.78,9375.0,56,16,02,0,0,1,0,07
18:29:33,20:29:33,3,AJ453,37,-111.48,-42.406,378.63,201.78,9375.0,56,16,02,0,0,1,0,
18:31:29,20:31:29,7,AJ453,37,-116.03,-53.789,378.63,201.78,9375.0,56,16,05,0,0,0,0,
18:32:39,20:32:39,5,AJ453,37,-118.76,-60.621,378.63,201.78,9375.0,56,16,05,0,0,0,0,
18:33:02,20:33:02,8,AJ453,37,-119.67,-62.898,378.63,201.78,9375.0,56,16,05,0,0,0,0,
18:36:02,20:36:02,8,AJ453,40,+31.141,+46.188,474.56,0.0000,39187.,46,06,05,0,0,1,0,02
18:37:00,20:37:00,8,AJ453,40,+30.523,+53.945,475.19,357.03,39187.,46,06,05,0,0,1,0,02
18:37:59,20:37:59,1,AJ453,40,+29.820,+61.598,476.44,354.91,39187.,46,06,05,0,0,1,0,02
18:39:08,20:39:08,9,AJ453,40,+29.379,+70.684,468.38,356.56,39187.,46,06,05,0,0,1,0,02
18:39:32,20:39:32,2,AJ453,40,+29.188,+73.723,468.38,356.56,39187.,46,06,05,0,0,1,0,02
18:40:42,20:40:42,1,AJ453,40,+28.621,+82.883,468.56,356.13,39187.,46,06,05,0,0,1,0,02
18:41:52,20:41:52,0,AJ453,40,+28.012,+92.051,472.13,356.16,39187.,46,06,05,0,0,1,0,02
18:42:50,20:42:50,4,AJ453,40,+27.426,+99.684,468.88,355.69,39187.,46,06,05,0,0,1,0,02
