TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
203709,AM210,37,+88.613,-2.1680,0.0000,0.0000,0.0000,M
203714,AM210,37,+88.613,-2.1680,0.0000,0.0000,0.0000,M
203726,AM210,37,+88.613,-2.1680,398.50,300.19,0.0000,M
203745,AM210,37,+85.246,-11.008,398.50,300.19,25031.,M
203747,AM210,37,+85.223,-11.000,398.50,300.19,25031.,M
203842,AM210,37,+82.699,-8.3480,278.38,315.00,25031.,M
204021,AM210,37,+78.188,-7.1367,204.31,296.56,13125.,M
204143,AM210,37,+74.371,-5.3398,198.13,295.19,15187.,M
204206,AM210,37,+73.234,-4.8203,198.13,295.19,15187.,M
204721,AM210,37,+54.660,+2.9805,251.25,287.91,16312.,M
204808,AM210,37,+51.359,+3.6406,253.19,283.63,16312.,M
205016,AM210,37,+43.344,+6.0039,239.50,292.41,16312.,M
205201,AM210,37,+37.875,+8.9020,215.38,296.13,16500.,M
205213,AM210,37,+37.258,+9.2300,215.38,296.13,16500.,M
205225,AM210,37,+36.656,+9.5040,213.81,295.28,16500.,M
205357,AM210,37,+31.762,+11.871,205.94,295.25,16500.,M
205444,AM210,37,+29.152,+11.758,194.13,275.19,16500.,M
205531,AM210,37,+26.723,+10.754,193.00,259.50,15937.,M
205606,AM210,37,+24.789,+10.527,195.38,261.72,16687.,M
205647,AM210,37,+22.160,+10.223,198.31,262.88,16687.,M
205652,AM210,37,+22.094,+10.293,201.44,263.97,16687.,M
205912,AM210,37,+13.324,+10.348,190.06,273.16,16500.,M
205924,AM210,37,+12.754,+10.039,186.81,265.69,16500.,M
205936,AM210,37,+13.887,+5.9766,185.88,195.34,16500.,M
205948,AM210,37,+13.988,+4.5313,186.44,177.84,16500.,M
210229,AM210,37,-1.6445,+8.3830,271.25,273.72,16031.,M
210303,AM210,37,-4.4023,+8.5700,271.25,273.72,16031.,M
210414,AM210,37,-10.883,+9.0000,271.25,273.72,16031.,M
210557,AM210,37,-18.316,+9.4880,271.25,273.72,16031.,M
210620,AM210,37,-20.180,+9.6130,271.25,273.72,16031.,M
