TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT
181633,LE200,25,-2,103,278,95,25499
181642,LG113,26,-1,103,277,90,0
181653,LE200,25,0,103,278,95,25499
181715,LE200,25,1,103,306,94,25499
181722,LG113,26,1,102,277,90,0
181723,LE200,25,2,103,306,94,25499
181728,LG113,26,2,102,302,89,0
181740,LG113,26,4,102,319,89,0
181743,LE200,25,3,103,306,94,25499
181752,LE200,25,5,102,326,90,25499
181804,LE200,25,7,102,369,91,25499
181815,LE200,25,8,102,355,91,25499
181839,LE200,25,10,102,342,95,25499
181851,LE200,25,11,101,333,97,25499
181903,LE200,25,11,101,324,99,25499
182026,LE200,25,18,98,310,111,25499
182044,LG113,26,21,100,278,95,0
182113,LG113,26,21,103,278,95,0
182123,LG113,26,22,103,278,95,0
182125,LE200,25,23,96,319,112,25499
182200,LE200,25,25,95,291,107,25499
182212,LE200,25,26,95,282,106,25499
182224,LE200,25,27,95,277,105,25499
182236,LE200,25,28,95,269,105,25499
182335,LE200,25,33,94,286,104,25499
182359,LE200,25,34,93,292,106,26499
182434,LE200,25,37,92,305,109,25499
182446,LE200,25,38,92,291,109,25499
182510,LE200,25,39,91,267,109,25499
182522,LE200,25,40,91,244,108,25499
182557,LE200,25,43,90,284,107,25499
182609,LE200,25,44,90,286,107,25499
182645,LE200,25,46,89,279,104,25499
182657,LE200,25,47,89,279,104,25499
182709,LE200,25,48,89,279,104,25499
182720,LE200,25,49,89,263,103,25499
182732,LE200,25,49,89,247,101,25499
182808,LE200,25,52,88,276,104,25499
182843,LE200,25,55,88,267,103,25499
182855,LE200,25,56,88,266,102,25499
182907,LE200,25,57,87,266,102,25499
182919,LE200,25,57,87,266,102,25499
182954,LE200,25,60,87,266,102,25499
183006,LE200,25,61,86,266,102,25499
