TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT
182621,LG460,60,-62,164,255,78,0
182641,LG460,60,-61,164,255,78,0
182651,LG460,60,-60,165,262,72,0
182703,LG460,60,-59,165,262,72,0
182722,LG460,60,-57,164,262,72,0
182731,LG460,60,-57,163,262,72,0
182742,LG460,60,-57,161,246,153,0
182812,LG460,60,-57,159,246,153,0
182831,LG460,60,-59,157,246,206,0
182852,LG460,60,-60,157,246,206,0
182902,LG460,60,-60,151,246,206,0
182922,LG460,60,-60,150,260,211,0
182942,LG460,60,-64,55,260,211,0
182952,LG460,60,-64,153,260,211,0
183003,LG460,60,-64,152,262,197,0
183354,LG460,60,-68,126,336,204,0
183404,LG460,60,-69,125,336,204,0
183414,LG460,60,-69,124,336,204,0
183424,LG460,60,-69,122,336,204,0
183434,LG460,60,-69,121,336,204,0
183647,LG054,60,-73,102,418,180,0
183655,LG054,60,-74,101,418,180,0
183705,LG054,60,-74,99,419,183,0
183716,LG054,6,-74,97,419,183,0
183736,LG074,6,-78,95,426,191,0
183746,LG054,60,-74,95,418,180,0
183746,LG074,6,-77,94,422,186,0
183755,LG054,60,-74,94,418,180,0
183806,LG054,60,-72,94,418,180,0
183826,LG054,60,-74,94,418,180,0
183836,LG054,60,-73,94,390,180,0
183846,LG054,60,-69,91,390,180,0
183856,LG054,60,-69,90,390,180,0
183905,LG054,60,-68,91,390,180,0
183926,LG054,60,-64,91,375,234,0
183956,LG054,60,-60,79,375,234,0
