TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
184908,LG477,11,-26,-25,559,107,-,F,L,-,-,1235,7,P.BALLONE
184920,LG477,11,-24,-26,571,109,-,F,L,-,-,1235,7,P.BALLONE
184932,LG477,11,-22,-26,579,110,-,F,L,-,-,1235,7,P.BALLONE
185019,LG477,11,-15,-30,586,115,-,F,L,-,-,1235,7,P.BALLONE
185042,LG477,11,-12,-32,587,117,-,F,L,-,-,1235,7,P.BALLONE
185053,LG477,11,-10,-33,586,117,-,F,L,-,-,1235,7,P.BALLONE
185105,LG477,11,-8,-34,589,117,-,F,L,-,-,1235,7,P.BALLONE
185117,LG477,11,-7,-35,589,118,-,F,L,-,-,1235,7,P.BALLONE
185129,LG477,11,-5,-36,586,118,-,F,L,-,-,1235,7,P.BALLONE
185152,LG477,11,-1,-38,600,117,-,F,L,-,-,1235,7,P.BALLONE
185216,LG477,11,1,-40,589,118,-,F,L,-,-,1235,7,P.BALLONE
185239,LG477,11,4,-41,564,118,-,F,L,-,-,1235,7,P.BALLONE
185251,LG477,11,6,-42,572,117,-,F,L,-,-,1235,7,P.BALLONE
185303,LG477,11,8,-43,577,115,-,F,L,-,-,1235,7,P.BALLONE
185350,LG477,11,15,-45,589,112,-,F,L,-,-,1235,7,P.BALLONE
185401,LG477,11,17,-46,603,109,-,F,L,-,-,1235,7,P.BALLONE
185413,LG477,11,19,-47,592,110,-,F,L,-,-,1235,7,P.BALLONE
185425,LG477,11,21,-47,589,110,-,F,L,-,-,1235,7,P.BALLONE
185437,LG477,11,22,-48,587,111,-,F,L,-,-,1235,7,P.BALLONE
185448,LG477,11,24,-49,586,111,-,F,L,-,-,1235,7,P.BALLONE
185548,LG477,11,32,-54,572,119,-,F,L,-,-,1235,7,P.BALLONE
185611,LG477,11,35,-56,568,122,-,F,L,-,-,1235,7,P.BALLONE
185623,LG477,11,36,-57,365,123,-,F,L,-,-,1235,7,P.BALLONE
185635,LG477,11,38,-58,563,125,-,F,L,-,-,1235,7,P.BALLONE
185647,LG477,11,39,-80,560,128,-,F,L,-,-,1235,7,P.BALLONE
185658,LG477,11,40,-61,559,129,-,F,L,-,-,1235,7,P.BALLONE
