TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
181914,LG521,37,-17,102,242,90,0,P
181926,LE207,33,-16,102,249,89,10875,P
181950,LE207,33,-14,103,257,86,10875,P
182001,LE207,33,-13,103,260,86,10875,P
182004,LG521,34,-14,103,221,90,10875,P
182013,LE207,33,-13,103,257,86,10875,P
182013,LG521,34,-14,103,221,90,10875,P
182037,LE207,33,-10,103,285,87,10875,P
183526,LE206,33,31,122,96,33,0,P
183606,LE206,33,31,124,111,12,0,P
183617,LE206,33,31,125,137,0,0,P
183656,LE206,33,32,127,80,0,0,P
183706,LE206,33,32,127,80,0,0,P
183806,LE206,33,32,130,108,0,0,P
183817,LE206,33,32,131,167,8,0,P
183837,LE206,33,33,132,167,8,0,P
183847,LE206,33,33,133,167,8,0,P
183856,LE206,33,33,133,194,7,0,P
183907,LE206,33,33,134,194,7,0,P
183917,LE206,33,33,135,194,7,0,P
183958,LE206,33,34,137,194,7,0,P
184027,LE206,33,34,139,194,7,0,P
184037,LE206,33,34,139,194,7,0,P
184117,LE206,33,34,141,194,7,0,P
184127,LE206,33,34,142,194,7,0,P
184137,LE206,33,34,143,194,7,0,P
184157,LE206,33,35,144,194,7,0,P
184207,LE206,33,35,144,194,7,0,P
184248,LE206,33,35,147,193,0,0,P
184318,LE206,33,35,148,193,0,0,P
184328,LE206,33,35,149,193,0,0,P
184348,LE206,33,35,150,193,0,0,P
184358,LE206,33,35,151,193,0,0,P
184408,LE206,33,35,151,193,0,0,P
184438,LE206,33,35,153,193,0,0,P
184518,LE206,33,35,155,193,0,0,P
184558,LE206,33,35,158,193,0,0,P
184608,LE206,33,35,158,193,0,0,P
184617,LE206,33,35,159,193,0,0,P
184628,LE206,33,35,159,193,0,0,P
184638,LE206,33,35,160,193,0,0,P
184648,LE206,33,35,160,193,0,0,P
184658,LE206,33,35,161,190,0,0,P
184738,LE206,33,35,163,167,8,0,P
184759,LE206,33,36,164,167,8,0,P
184819,LE206,33,37,164,175,51,0,P
184829,LE206,33,38,165,175,51,0,P
184840,LE206,33,38,165,175,51,0,P
184849,LE206,33,41,167,175,51,0,P
184939,LE206,33,41,167,175,51,0,P
184959,LE206,33,41,168,175,051,0,P
185009,LE206,33,42,168,193,045,8625,P
185029,LE206,33,43,169,193,045,8625,P
185059,LE206,33,44,170,197,056,8625,P
185109,LE206,33,45,170,197,056,8625,P
185119,LE206,33,45,170,197,56,8625,P
