TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
181846,LL013,13,-6,9,707,272,-,F,L,00,-,0000,7,P.BALLONE
181913,LL013,13,-6,5,706,222,-,F,L,00,7700,0000,7,P.BALLONE
181936,LL013,13,-9,2,706,222,-,F,L,00,-,0000,5,P.BALLONE
181959,LL013,13,-8,1,704,210,-,F,L,-,-,0000,7,P.BALLONE
182011,LL013,13,-9,-1,704,210,-,F,L,-,-,0000,6,P.BALLONE
182046,LL013,13,-12,-7,704,210,-,F,L,-,-,-,3,P.BALLONE
182109,LL013,13,-15,-11,704,210,-,F,L,-,-,-,1,P.BALLONE
182121,LL013,13,-16,-13,704,210,-,F,L,-,-,-,0,P.BALLONE
185354,LL013,13,-143,0,0,0,-,P,R,-,-,0330,7,P.BALLONE
191034,LL013,13,-142,-2,0,0,-,P,R,-,-,0330,7,P.BALLONE
191115,LL013,13,-144,2,471,332,-,P,R,-,-,0330,7,P.BALLONE
191122,LL013,13,-144,3,471,332,-,P,L,-,-,0330,7,P.BALLONE
191126,LL013,13,-144,3,471,332,-,P,L,-,-,0330,6,P.BALLONE
191927,LL013,13,-159,47,350,342,35624,F,R,-,-,-,7,P.BALLONE
191937,LL013,13,-160,48,333,336,21000,F,R,-,-,0330,7,P.BALLONE
191947,LL013,13,-161,48,333,336,21000,F,R,-,-,0330,7,P.BALLONE
191952,LL013,13,-158,51,320,3,21000,F,L,03,-,0164,7,P.BALLONE
