CART,TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
,181949,AA063,63,-2,6,1056,52,-,P,L,-,-,-,7,P.BALLONE
,182016,AA063,63,7,7,1057,111,-,P,L,-,-,-,6,P.BALLONE
,182026,LL063,63,10,5,1057,111,-,P,L,-,-,-,6,P.BALLONE
,182104,LL063,63,20,1,1057,111,-,P,L,-,-,-,2,P.BALLONE
,182116,LL063,63,24,1,1057,111,-,F,L,-,-,-,1,P.BALLONE
,184731,AA063,63,6,-5,436,209,-,P,L,-,-,-,7,P.BALLONE
,184743,LL063,63,5,-7,436,209,-,F,L,-,-,-,6,P.BALLONE
,184755,LL063,63,5,-7,436,209,-,F,L,-,-,-,6,P.BALLONE
,184807,LL063,63,4,-5,437,241,-,F,L,53,-,-,7,P.BALLONE
,184855,LL063,63,3,-10,438,215,-,F,L,-,-,-,4,P.BALLONE
,184907,LL063,63,2,-11,438,215,-,F,L,-,-,-,3,P.BALLONE
,184919,LL063,63,1,-12,438,215,-,F,L,-,-,-,2,P.BALLONE
,184931,LL063,63,0,-14,438,215,-,F,L,-,-,-,1,P.BALLONE
