TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT
180007,AA417,17,-4,129,501,309,0
180018,AA417,17,-6,130,505,308,0
180030,AA417,17,-7,131,494,309,0
180054,LK017,17,-8,134,487,314,0
180106,LK017,17,-9,136,487,326,0
180129,LK017,17,-10,139,491,339,0
180205,LK017,17,-10,144,487,346,0
180316,LK017,17,-3,147,486,127,0
180328,LK017,17,-2,147,487,126,0
180415,LK017,17,-5,144,484,204,0
180427,LK017,17,-6,144,483,214,0
180451,LK017,17,-8,143,467,230,0
180526,LK017,17,-11,140,433,229,0
180538,LK017,17,-12,139,436,229,0
180637,LK017,17,-13,133,451,175,0
180923,LK017,17,-13,146,375,7,0
181010,LK017,17,-13,150,375,7,0
181712,LE011,11,2,144,309,206,0
181722,LE011,11,1,143,385,210,0
181732,LE011,11,1,142,385,210,0
181742,LE011,11,0,140,385,210,0
181752,LE011,11,1,135,385,210,0
181853,LE011,11,5,131,435,153,0
182003,LE011,11,9,120,487,156,0
182033,LE011,11,11,117,487,156,0
182043,LE011,11,11,115,477,159,0
182053,LE011,11,12,114,477,159,0
182113,LE011,11,13,111,477,159,0
182123,LE011,11,13,110,440,161,0
182133,LE011,11,13,109,440,161,0
182143,LE011,11,14,108,440,161,0
182203,LE011,11,15,105,440,161,0
182223,LE011,11,14,102,440,161,0
182243,LE011,11,14,100,419,183,0
182313,LE011,11,13,96,419,183,0
182333,LE011,11,12,93,449,185,0
182347,AA464,64,13,91,535,195,0
182403,LE011,11,11,89,453,189,0
182411,AA464,64,12,88,525,195,0
182413,LE011,11,11,88,453,189,0
182422,AA464,64,12,86,520,194,0
182434,LE011,11,10,85,453,189,0
182437,LE011,11,10,83,453,189,0
182500,AA464,64,9,80,453,180,0
182521,AA464,64,10,79,452,166,0
182621,AA464,64,9,70,465,184,0
182633,AA464,64,9,68,464,183,0
182732,AA464,64,9,60,481,180,0
182756,AA464,64,9,57,488,181,0
182819,AA464,64,8,53,492,182,0
182831,AA464,64,10,51,490,158,0
182843,AA464,64,11,49,489,150,0
182942,AA464,64,8,42,496,187,0
182954,AA464,64,8,40,499,186,0
183013,LL464,64,9,37,499,183,0
183018,LL464,64,9,37,499,180,0
183405,LL464,64,28,9,477,252,0
183516,LL464,64,25,0,482,198,0
183603,LL464,64,19,0,482,249,0
183615,LL464,64,18,0,480,234,0
183627,LL464,64,17,-1,480,234,0
183639,LL464,64,16,-1,481,242,0
183715,LL464,64,12,-3,479,241,0
183727,LL464,64,11,-4,470,241,0
183739,LL464,64,10,-3,471,260,0
183751,LL464,64,9,-3,468,255,0
183815,LL464,64,6,-4,461,253,0
183903,LL464,64,2,-6,424,252,0
183927,LG403,3,0,-7,379,252,0
183952,LG403,3,0,-7,342,250,0
184004,LG403,3,-1,-8,326,247,0
184016,LG403,3,-1,-9,327,230,0
184103,LG403,3,-4,-13,340,209,0
184138,LG403,3,-4,-16,338,192,0
184150,LG403,3,-1,-16,339,143,0
184201,LG403,3,0,-16,338,74,0
184225,LG403,3,1,-15,336,69,0
184237,LG403,3,2,-14,338,67,0
184300,LG403,3,4,-12,344,62,0
184312,LG403,3,5,-12,344,62,0
