TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR,SIF1 73
175345,AA417,17,10.699,85.703,532.50,5.5313,0,P,
175400,AA417,17,12.262,87.031,532.31,42.544,0,P,
175412,AA417,17,12.672,88.680,530.25,28.938,0,P,
175459,AA417,17,13.805,95.457,527.75,13.469,0,P,
175511,AA417,17,14.195,97.137,527.75,13.469,0,P,73
175523,AA417,17,14.405,98.852,525.38,12.344,0,P,
175535,AA417,17,14.715,100.55,524.69,11.969,0,P,
175558,AA417,17,15.202,103.97,524.69,11.969,0,P,
175622,AA417,17,17.691,107.16,523.56,34.313,0,P,
175634,AA417,17,16.258,108.93,523.81,0.37500,0,P,
175745,AA417,17,9.9920,116.78,522.38,323.19,0,P,
175855,AA417,17,3.0664,123.95,512.44,317.22,0,P,73
175943,AA417,17,-1.8789,127.99,500.31,311.84,0,P,
180007,AA417,17,-4,129,501,309,0,P,
180018,AA417,17,-6,130,505,308,0,P,
180030,AA417,17,-7,131,494,309,0,P,
180054,LK017,17,-8,134,487,314,0,P,
180106,LK017,17,-9,136,487,326,0,P,
180129,LK017,17,-10,139,491,339,0,P,
180205,LK017,17,-10,144,487,346,0,P,
180316,LK017,17,-3,147,486,127,0,P,
180328,LK017,17,-2,147,487,126,0,P,
180415,LK017,17,-5,144,484,204,0,P,
180427,LK017,17,-6,144,483,214,0,P,
180451,LK017,17,-8,143,467,230,0,P,
180526,LK017,17,-11,140,433,229,0,P,
180538,LK017,17,-12,139,436,229,0,P,
180637,LK017,17,-13,133,451,175,0,P,
180923,LK017,17,-13,146,375,7,0,P,
181010,LK017,17,-13,150,375,7,0,P,
181712,LE011,11,2,144,309,206,0,P,
181722,LE011,11,1,143,385,210,0,P,
181732,LE011,11,1,142,385,210,0,P,
181742,LE011,11,0,140,385,210,0,P,
181752,LE011,11,1,135,385,210,0,P,
181853,LE011,11,5,131,435,153,0,P,
182003,LE011,11,9,120,487,156,0,P,
182033,LE011,11,11,117,487,156,0,P,
182043,LE011,11,11,115,477,159,0,P,
182053,LE011,11,12,114,477,159,0,P,
182113,LE011,11,13,111,477,159,0,P,
182123,LE011,11,13,110,440,161,0,P,
182133,LE011,11,13,109,440,161,0,P,
182143,LE011,11,14,108,440,161,0,P,
182203,LE011,11,15,105,440,161,0,P,
182223,LE011,11,14,102,440,161,0,P,
182243,LE011,11,14,100,419,183,0,P,
182313,LE011,11,13,96,419,183,0,P,
182333,LE011,11,12,93,449,185,0,P,
182347,AA464,64,13,91,535,195,0,P,
182403,LE011,11,11,89,453,189,0,P,
182411,AA464,64,12,88,525,195,0,P,
182413,LE011,11,11,88,453,189,0,P,
182422,AA464,64,12,86,520,194,0,P,
182434,LE011,11,10,85,453,189,0,P,
182437,LE011,11,10,83,453,189,0,P,
182500,AA464,64,9,80,453,180,0,P,
182521,AA464,64,10,79,452,166,0,P,73
182621,AA464,64,9,70,465,184,0,P,
182633,AA464,64,9,68,464,183,0,P,
182732,AA464,64,9,60,481,180,0,P,
182756,AA464,64,9,57,488,181,0,P,
182819,AA464,64,8,53,492,182,0,P,
182831,AA464,64,10,51,490,158,0,P,
182843,AA464,64,11,49,489,150,0,P,
182942,AA464,64,8,42,496,187,0,P,
182954,AA464,64,8,40,499,186,0,P,
183013,LL464,64,9,37,499,183,0,P,
183018,LL464,64,9,37,499,180,0,P,
183405,LL464,64,28,9,477,252,0,P,
183516,LL464,64,25,0,482,198,0,P,
183603,LL464,64,19,0,482,249,0,P,
183615,LL464,64,18,0,480,234,0,P,
183627,LL464,64,17,-1,480,234,0,P,
183639,LL464,64,16,-1,481,242,0,P,
183715,LL464,64,12,-3,479,241,0,P,
183727,LL464,64,11,-4,470,241,0,P,
183739,LL464,64,10,-3,471,260,0,P,
183751,LL464,64,9,-3,468,255,0,P,
183815,LL464,64,6,-4,461,253,0,P,
183903,LL464,64,2,-6,424,252,0,P,
183927,LG403,3,0,-7,379,252,0,P,
183952,LG403,3,0,-7,342,250,0,P,
184004,LG403,3,-1,-8,326,247,0,P,
184016,LG403,3,-1,-9,327,230,0,P,
184103,LG403,3,-4,-13,340,209,0,P,
184138,LG403,3,-4,-16,338,192,0,P,
184150,LG403,3,-1,-16,339,143,0,P,
184201,LG403,3,0,-16,338,74,0,P,
184225,LG403,3,1,-15,336,69,0,P,73
184237,LG403,3,2,-14,338,67,0,P,73
184300,LG403,3,4,-12,344,62,0,P,
184312,LG403,3,5,-12,344,62,0,P,
