+------------+-------------+------------+
| X          | Y           | Distance   |
+------------+-------------+------------+
| -9.000000  | -240.000000 | 439.028367 |
| -13.000000 | -239.000000 | 437.537824 |
| -14.000000 | -239.000000 | 437.640915 |
| -15.000000 | -239.000000 | 437.751615 |
| -16.000000 | -238.000000 | 436.046018 |
| -17.000000 | -238.000000 | 436.172445 |
| -18.000000 | -238.000000 | 436.306495 |
| -19.000000 | -238.000000 | 436.448159 |
| -19.000000 | -23.000000  | 54.534482  |
| -20.000000 | -236.000000 | 432.954381 |
| -21.000000 | -237.000000 | 434.933409 |
| -21.000000 | -237.000000 | 434.933409 |
| -22.000000 | -237.000000 | 435.098562 |
| -23.000000 | -237.000000 | 435.271329 |
| -24.000000 | -236.000000 | 433.633042 |
| -25.000000 | -236.000000 | 433.821798 |
| -25.000000 | -236.000000 | 433.821798 |
| -26.000000 | -236.000000 | 434.018172 |
| -27.000000 | -236.000000 | 434.222152 |
| -28.000000 | -236.000000 | 434.433728 |
| -29.000000 | -236.000000 | 434.652890 |
| -30.000000 | -235.000000 | 433.066279 |
| -30.000000 | -235.000000 | 433.066279 |
| -33.000000 | -235.000000 | 433.794838 |
| -34.000000 | -234.000000 | 432.243733 |
| -35.000000 | -234.000000 | 432.510363 |
| -36.000000 | -234.000000 | 432.784550 |
| -38.000000 | -234.000000 | 433.355536 |
| -41.000000 | -233.000000 | 432.467868 |
| -42.000000 | -233.000000 | 432.788410 |
| -43.000000 | -233.000000 | 433.116431 |
| -44.000000 | -232.000000 | 431.655793 |
| -46.000000 | -231.000000 | 430.559004 |
| -47.000000 | -231.000000 | 430.919741 |
| -48.000000 | -230.000000 | 429.498316 |
| -48.000000 | -230.000000 | 429.498316 |
| -50.000000 | -229.000000 | 428.473998 |
| -52.000000 | -229.000000 | 429.268738 |
| -62.000000 | -226.000000 | 428.392102 |
| -55.000000 | -227.000000 | 426.962262 |
| -55.000000 | -227.000000 | 426.962262 |
| -58.000000 | -225.000000 | 424.745546 |
| -59.000000 | -226.000000 | 426.974002 |
| -61.000000 | -225.000000 | 426.147538 |
| -61.000000 | -224.000000 | 424.383497 |
| -62.000000 | -224.000000 | 424.867471 |
| -63.000000 | -223.000000 | 423.599313 |
| -67.000000 | -228.000000 | 434.406806 |
| -68.000000 | -226.000000 | 431.423491 |
| -66.000000 | -229.000000 | 435.651175 |
| -64.000000 | -228.000000 | 432.892632 |
| -61.000000 | -231.000000 | 436.742828 |
| -61.000000 | -231.000000 | 436.742828 |
| -60.000000 | -231.000000 | 436.279688 |
| -59.000000 | -231.000000 | 435.823723 |
+------------+-------------+------------+

