+--------+--------+---------+------------------------+---------------------+-------+-------+
| TIME   | X      | Y       | Distance from PB Radar | Bearing to PB Radar | Lat   | Long  |
+--------+--------+---------+------------------------+---------------------+-------+-------+
| 180025 | -9.00  | -240.00 | 439.03                 | 182.15              | 38.88 | 10.69 |
| 180125 | -13.00 | -239.00 | 437.54                 | 183.11              | 38.90 | 10.61 |
| 180135 | -14.00 | -239.00 | 437.64                 | 183.35              | 38.90 | 10.59 |
| 180156 | -15.00 | -239.00 | 437.75                 | 183.59              | 38.90 | 10.57 |
| 180215 | -16.00 | -238.00 | 436.05                 | 183.85              | 38.91 | 10.55 |
| 180226 | -17.00 | -238.00 | 436.17                 | 184.09              | 38.91 | 10.53 |
| 180246 | -18.00 | -238.00 | 436.31                 | 184.33              | 38.91 | 10.50 |
| 180255 | -19.00 | -238.00 | 436.45                 | 184.56              | 38.91 | 10.48 |
| 180306 | -19.00 | -23.00  | 54.53                  | 219.56              | 42.45 | 10.46 |
| 180316 | -20.00 | -236.00 | 432.95                 | 184.84              | 38.95 | 10.46 |
| 180326 | -21.00 | -237.00 | 434.93                 | 185.06              | 38.93 | 10.44 |
| 180336 | -21.00 | -237.00 | 434.93                 | 185.06              | 38.93 | 10.44 |
| 180346 | -22.00 | -237.00 | 435.10                 | 185.30              | 38.93 | 10.42 |
| 180406 | -23.00 | -237.00 | 435.27                 | 185.54              | 38.93 | 10.40 |
| 180426 | -24.00 | -236.00 | 433.63                 | 185.81              | 38.95 | 10.38 |
| 180436 | -25.00 | -236.00 | 433.82                 | 186.05              | 38.95 | 10.36 |
| 180446 | -25.00 | -236.00 | 433.82                 | 186.05              | 38.95 | 10.36 |
| 180456 | -26.00 | -236.00 | 434.02                 | 186.29              | 38.95 | 10.34 |
| 180516 | -27.00 | -236.00 | 434.22                 | 186.53              | 38.95 | 10.31 |
| 180526 | -28.00 | -236.00 | 434.43                 | 186.77              | 38.95 | 10.29 |
| 180536 | -29.00 | -236.00 | 434.65                 | 187.01              | 38.94 | 10.27 |
| 180557 | -30.00 | -235.00 | 433.07                 | 187.28              | 38.96 | 10.25 |
| 180606 | -30.00 | -235.00 | 433.07                 | 187.28              | 38.96 | 10.25 |
| 180657 | -33.00 | -235.00 | 433.79                 | 187.99              | 38.96 | 10.19 |
| 180707 | -34.00 | -234.00 | 432.24                 | 188.27              | 38.98 | 10.17 |
| 180717 | -35.00 | -234.00 | 432.51                 | 188.51              | 38.98 | 10.14 |
| 180747 | -36.00 | -234.00 | 432.78                 | 188.75              | 38.98 | 10.12 |
| 180817 | -38.00 | -234.00 | 433.36                 | 189.22              | 38.98 | 10.08 |
| 180907 | -41.00 | -233.00 | 432.47                 | 189.98              | 38.99 | 10.02 |
| 180917 | -42.00 | -233.00 | 432.79                 | 190.22              | 38.99 | 10.00 |
| 180928 | -43.00 | -233.00 | 433.12                 | 190.46              | 38.99 | 9.98  |
| 180958 | -44.00 | -232.00 | 431.66                 | 190.74              | 39.01 | 9.95  |
| 181028 | -46.00 | -231.00 | 430.56                 | 191.26              | 39.02 | 9.91  |
| 181038 | -47.00 | -231.00 | 430.92                 | 191.50              | 39.02 | 9.89  |
| 181058 | -48.00 | -230.00 | 429.50                 | 191.79              | 39.04 | 9.87  |
| 181108 | -48.00 | -230.00 | 429.50                 | 191.79              | 39.04 | 9.87  |
| 181138 | -50.00 | -229.00 | 428.47                 | 192.32              | 39.06 | 9.83  |
| 181158 | -52.00 | -229.00 | 429.27                 | 192.79              | 39.06 | 9.78  |
| 181228 | -62.00 | -226.00 | 428.39                 | 195.34              | 39.10 | 9.57  |
| 181259 | -55.00 | -227.00 | 426.96                 | 193.62              | 39.09 | 9.72  |
| 181319 | -55.00 | -227.00 | 426.96                 | 193.62              | 39.09 | 9.72  |
| 181359 | -58.00 | -225.00 | 424.75                 | 194.45              | 39.12 | 9.66  |
| 181409 | -59.00 | -226.00 | 426.97                 | 194.63              | 39.10 | 9.64  |
| 181440 | -61.00 | -225.00 | 426.15                 | 195.17              | 39.12 | 9.59  |
| 181449 | -61.00 | -224.00 | 424.38                 | 195.23              | 39.14 | 9.59  |
| 181500 | -62.00 | -224.00 | 424.87                 | 195.47              | 39.14 | 9.57  |
| 181520 | -63.00 | -223.00 | 423.60                 | 195.78              | 39.15 | 9.55  |
| 181550 | -67.00 | -228.00 | 434.41                 | 196.38              | 39.07 | 9.47  |
| 181610 | -68.00 | -226.00 | 431.42                 | 196.75              | 39.10 | 9.44  |
| 181630 | -66.00 | -229.00 | 435.65                 | 196.08              | 39.05 | 9.49  |
| 181700 | -64.00 | -228.00 | 432.89                 | 195.68              | 39.07 | 9.53  |
| 181720 | -61.00 | -231.00 | 436.74                 | 194.79              | 39.02 | 9.59  |
| 181730 | -61.00 | -231.00 | 436.74                 | 194.79              | 39.02 | 9.59  |
| 181740 | -60.00 | -231.00 | 436.28                 | 194.56              | 39.02 | 9.62  |
| 181751 | -59.00 | -231.00 | 435.82                 | 194.33              | 39.02 | 9.64  |
+--------+--------+---------+------------------------+---------------------+-------+-------+

