+--------+--------+---------+------------------------+---------------------+-------+-------+---------------------------------------------------------+
| TIME   | X      | Y       | Distance from PB Radar | Bearing to PB Radar | Lat   | Long  | Lat °/Long °                                            |
+--------+--------+---------+------------------------+---------------------+-------+-------+---------------------------------------------------------+
| 180025 | -9.00  | -240.00 | 439.03                 | 182.15              | 38.88 | 10.69 | 38°52'50.601291882246535" N 10°41'39.30866781344386" E  |
| 180125 | -13.00 | -239.00 | 437.54                 | 183.11              | 38.90 | 10.61 | 38°53'49.14764239387193" N 10°36'35.21246429532305" E   |
| 180135 | -14.00 | -239.00 | 437.64                 | 183.35              | 38.90 | 10.59 | 38°53'48.952505141620684" N 10°35'19.229363352619664" E |
| 180156 | -15.00 | -239.00 | 437.75                 | 183.59              | 38.90 | 10.57 | 38°53'48.74291352536613" N 10°34'3.2463860911419395" E  |
| 180215 | -16.00 | -238.00 | 436.05                 | 183.85              | 38.91 | 10.55 | 38°54'47.700787262599455" N 10°32'46.97403001623388" E  |
| 180226 | -17.00 | -238.00 | 436.17                 | 184.09              | 38.91 | 10.53 | 38°54'47.46220502337386" N 10°31'30.973233018394055" E  |
| 180246 | -18.00 | -238.00 | 436.31                 | 184.33              | 38.91 | 10.50 | 38°54'47.20916361727965" N 10°30'14.972586358830853" E  |
| 180255 | -19.00 | -238.00 | 436.45                 | 184.56              | 38.91 | 10.48 | 38°54'46.941663108240085" N 10°28'58.97209887950763" E  |
| 180306 | -19.00 | -23.00  | 54.53                  | 219.56              | 42.45 | 10.46 | 42°26'50.98426348001448" N 10°27'39.12011221202316" E   |
| 180316 | -20.00 | -236.00 | 432.95                 | 184.84              | 38.95 | 10.46 | 38°56'45.022824895226506" N 10°27'42.24725623586092" E  |
| 180326 | -21.00 | -237.00 | 434.93                 | 185.06              | 38.93 | 10.44 | 38°55'45.54474402021085" N 10°26'26.59139545393794" E   |
| 180336 | -21.00 | -237.00 | 434.93                 | 185.06              | 38.93 | 10.44 | 38°55'45.54474402021085" N 10°26'26.59139545393794" E   |
| 180346 | -22.00 | -237.00 | 435.10                 | 185.30              | 38.93 | 10.42 | 38°55'45.23375963526646" N 10°25'10.57333328650991" E   |
| 180406 | -23.00 | -237.00 | 435.27                 | 185.54              | 38.93 | 10.40 | 38°55'44.90831146437713" N 10°23'54.55546587014515" E   |
| 180426 | -24.00 | -236.00 | 433.63                 | 185.81              | 38.95 | 10.38 | 38°56'43.74952176885296" N 10°22'38.10294379394501" E   |
| 180436 | -25.00 | -236.00 | 433.82                 | 186.05              | 38.95 | 10.36 | 38°56'43.395024286348246" N 10°21'22.067375216294714" E |
| 180446 | -25.00 | -236.00 | 433.82                 | 186.05              | 38.95 | 10.36 | 38°56'43.395024286348246" N 10°21'22.067375216294714" E |
| 180456 | -26.00 | -236.00 | 434.02                 | 186.29              | 38.95 | 10.34 | 38°56'43.02605829755288" N 10°20'6.0320281717147095" E  |
| 180516 | -27.00 | -236.00 | 434.22                 | 186.53              | 38.95 | 10.31 | 38°56'42.64262389588333" N 10°18'49.99691151866135" E   |
| 180526 | -28.00 | -236.00 | 434.43                 | 186.77              | 38.95 | 10.29 | 38°56'42.24472117851627" N 10°17'33.96203411668455" E   |
| 180536 | -29.00 | -236.00 | 434.65                 | 187.01              | 38.94 | 10.27 | 38°56'41.8323502460816" N 10°16'17.927404824592386" E   |
| 180557 | -30.00 | -235.00 | 433.07                 | 187.28              | 38.96 | 10.25 | 38°57'40.585825363276214" N 10°15'1.3490971903010518" E |
| 180606 | -30.00 | -235.00 | 433.07                 | 187.28              | 38.96 | 10.25 | 38°57'40.585825363276214" N 10°15'1.3490971903010518" E |
| 180657 | -33.00 | -235.00 | 433.79                 | 187.99              | 38.96 | 10.19 | 38°57'39.21802986301559" N 10°11'13.193226662478185" E  |
| 180707 | -34.00 | -234.00 | 432.24                 | 188.27              | 38.98 | 10.17 | 38°58'37.912827252803226" N 10°9'56.5249686578858" E    |
| 180717 | -35.00 | -234.00 | 432.51                 | 188.51              | 38.98 | 10.14 | 38°58'37.41330548810251" N 10°8'40.45574731167648" E    |
| 180747 | -36.00 | -234.00 | 432.78                 | 188.75              | 38.98 | 10.12 | 38°58'36.8993063521128" N 10°7'24.386836724981286" E    |
| 180817 | -38.00 | -234.00 | 433.36                 | 189.22              | 38.98 | 10.08 | 38°58'35.827876491414344" N 10°4'52.24998332986445" E   |
| 180907 | -41.00 | -233.00 | 432.47                 | 189.98              | 38.99 | 10.02 | 38°59'33.29051827677536" N 10°1'3.3028938561409413" E   |
| 180917 | -42.00 | -233.00 | 432.79                 | 190.22              | 38.99 | 10.00 | 38°59'32.6894507808142" N 9°59'47.217884389565555" E    |
| 180928 | -43.00 | -233.00 | 433.12                 | 190.46              | 38.99 | 9.98  | 38°59'32.07390191706811" N 9°58'31.13324818812697" E    |
| 180958 | -44.00 | -232.00 | 431.66                 | 190.74              | 39.01 | 9.95  | 39°0'30.62159635403532" N 9°57'14.249628981491913" E    |
| 181028 | -46.00 | -231.00 | 430.56                 | 191.26              | 39.02 | 9.91  | 39°1'28.494916067719487" N 9°54'41.20971292867828" E    |
| 181038 | -47.00 | -231.00 | 430.92                 | 191.50              | 39.02 | 9.89  | 39°1'27.820979045255854" N 9°53'25.09032524190271" E    |
| 181058 | -48.00 | -230.00 | 429.50                 | 191.79              | 39.04 | 9.87  | 39°2'26.309350500547453" N 9°52'8.098136121958" E       |
| 181108 | -48.00 | -230.00 | 429.50                 | 191.79              | 39.04 | 9.87  | 39°2'26.309350500547453" N 9°52'8.098136121958" E       |
| 181138 | -50.00 | -229.00 | 428.47                 | 192.32              | 39.06 | 9.83  | 39°3'24.064840219126598" N 9°49'34.91489865914721" E    |
| 181158 | -52.00 | -229.00 | 429.27                 | 192.79              | 39.06 | 9.78  | 39°3'22.585534599251094" N 9°47'2.607272913798253" E    |
